Дата,Категория,Подробности транзакции,Доходы/Расходы,Сумма
2024-05-29,Доход,Оплата за участие в фокус-группе,Доходы,5000.0
2024-05-29,Досуг,Посещение выставки,Расходы,1500.0
2024-05-29,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-29,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-29,Еда,Ужин в ресторане,Расходы,2000.0
2024-05-30,Транспорт,Такси до университета,Расходы,900.0
2024-05-30,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-30,Еда,Обед в столовой,Расходы,1200.0
2024-05-31,Учеба,Покупка учебников,Расходы,2000.0
2024-05-31,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-31,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-31,Еда,Покупка продуктов в супермаркете,Расходы,1000.0
